epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.66385630,0.88416667,0.63330057,0.92666667,0.00100000
2,0.60435079,0.95000000,0.57963487,0.94666667,0.00100000
3,0.55183771,0.96958333,0.53261276,0.95666667,0.00100000
4,0.50595668,0.97083333,0.49111041,0.95666667,0.00100000
5,0.46553893,0.97583333,0.45484184,0.96333333,0.00100000
6,0.43014719,0.97583333,0.42306929,0.96333333,0.00100000
7,0.39900253,0.97708333,0.39502626,0.96000000,0.00100000
8,0.37156672,0.97958333,0.37023737,0.96333333,0.00100000
9,0.34727755,0.98041667,0.34833271,0.96333333,0.00100000
10,0.32571355,0.98125000,0.32896032,0.96666667,0.00100000
11,0.30637509,0.98125000,0.31154712,0.96333333,0.00100000
12,0.28911446,0.98166667,0.29588874,0.96333333,0.00100000
13,0.27361417,0.98250000,0.28182323,0.96000000,0.00100000
14,0.25946981,0.98333333,0.26905312,0.95666667,0.00100000
15,0.24673421,0.98333333,0.25748961,0.95666667,0.00100000
16,0.23521112,0.98333333,0.24692662,0.95666667,0.00100000
17,0.22456322,0.98375000,0.23729331,0.95666667,0.00100000
18,0.21486960,0.98375000,0.22846644,0.95666667,0.00100000
19,0.20593714,0.98416667,0.22030795,0.95666667,0.00100000
20,0.19769153,0.98458333,0.21277018,0.95666667,0.00100000
21,0.19010598,0.98458333,0.20582036,0.95666667,0.00100000
22,0.18305177,0.98458333,0.19941744,0.95666667,0.00100000
23,0.17651824,0.98416667,0.19337154,0.95666667,0.00100000
24,0.17040229,0.98416667,0.18777142,0.95666667,0.00100000
25,0.16476367,0.98458333,0.18257545,0.96000000,0.00100000
26,0.15942617,0.98416667,0.17768968,0.96000000,0.00100000
27,0.15441657,0.98500000,0.17309687,0.96000000,0.00100000
28,0.14975525,0.98458333,0.16877109,0.96000000,0.00100000
29,0.14534582,0.98500000,0.16467779,0.96000000,0.00100000
30,0.14117487,0.98458333,0.16086047,0.96333333,0.00100000
31,0.13723954,0.98458333,0.15722338,0.96000000,0.00100000
32,0.13356002,0.98500000,0.15380126,0.96000000,0.00100000
33,0.13000369,0.98500000,0.15052808,0.96333333,0.00100000
34,0.12668289,0.98500000,0.14738989,0.96333333,0.00100000
35,0.12352669,0.98500000,0.14444613,0.96333333,0.00100000
36,0.12052393,0.98500000,0.14166119,0.96333333,0.00100000
37,0.11766201,0.98541667,0.13901516,0.96666667,0.00100000
38,0.11497566,0.98541667,0.13648922,0.96666667,0.00100000
39,0.11236730,0.98500000,0.13401804,0.96666667,0.00100000
40,0.10989407,0.98541667,0.13170349,0.96666667,0.00100000
41,0.10750222,0.98458333,0.12944276,0.96666667,0.00100000
42,0.10524233,0.98541667,0.12728826,0.96666667,0.00100000
43,0.10301848,0.98541667,0.12523632,0.96666667,0.00100000
44,0.10094149,0.98583333,0.12330834,0.96666667,0.00100000
45,0.09895392,0.98583333,0.12139098,0.96666667,0.00100000
46,0.09701523,0.98583333,0.11957577,0.96666667,0.00100000
47,0.09517462,0.98583333,0.11780452,0.96666667,0.00100000
48,0.09341299,0.98583333,0.11613518,0.96666667,0.00100000
49,0.09167664,0.98583333,0.11448947,0.96666667,0.00100000
50,0.09004513,0.98583333,0.11293857,0.96666667,0.00100000
51,0.08844785,0.98583333,0.11141518,0.96666667,0.00100000
52,0.08690550,0.98583333,0.10993812,0.96666667,0.00100000
53,0.08541052,0.98583333,0.10850743,0.96666667,0.00100000
54,0.08397105,0.98583333,0.10713410,0.96666667,0.00100000
55,0.08258645,0.98583333,0.10582401,0.96666667,0.00100000
56,0.08127677,0.98583333,0.10452005,0.96666667,0.00100000
57,0.07994905,0.98625000,0.10328295,0.96666667,0.00100000
58,0.07869080,0.98625000,0.10200994,0.96666667,0.00100000
59,0.07748068,0.98625000,0.10086024,0.96666667,0.00100000
60,0.07629057,0.98625000,0.09970511,0.96666667,0.00100000
