epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.51692457,0.93333333,0.28157782,0.96000000,0.00100000
2,0.14581353,0.98291667,0.10341971,0.96000000,0.00100000
3,0.06246601,0.98625000,0.07393400,0.97333333,0.00100000
4,0.04326154,0.98833333,0.06018964,0.97666667,0.00100000
5,0.03406917,0.99083333,0.05217078,0.98666667,0.00100000
6,0.02825498,0.99083333,0.04678838,0.99000000,0.00100000
7,0.02418486,0.99375000,0.04349344,0.99000000,0.00100000
8,0.02090874,0.99416667,0.04237485,0.98666667,0.00100000
9,0.01761800,0.99625000,0.03936008,0.98666667,0.00100000
10,0.01509211,0.99666667,0.03813287,0.98666667,0.00100000
11,0.01389695,0.99666667,0.03600417,0.99000000,0.00100000
12,0.01231904,0.99750000,0.03472814,0.99000000,0.00100000
13,0.01076395,0.99833333,0.03616660,0.98666667,0.00100000
14,0.01007339,0.99875000,0.03348446,0.99000000,0.00100000
15,0.00933168,0.99833333,0.03354733,0.99000000,0.00100000
16,0.00810931,0.99833333,0.03253173,0.98666667,0.00100000
17,0.00781652,0.99833333,0.03280891,0.98666667,0.00100000
18,0.00656394,0.99833333,0.03251208,0.99000000,0.00100000
19,0.00602600,0.99916667,0.03290478,0.99000000,0.00100000
20,0.00634409,0.99875000,0.03304178,0.99000000,0.00100000
21,0.00484406,0.99916667,0.03233038,0.98666667,0.00100000
22,0.00488907,0.99916667,0.03204587,0.98666667,0.00100000
23,0.00470613,0.99958333,0.03245021,0.99000000,0.00100000
24,0.00422425,0.99916667,0.03289480,0.99000000,0.00100000
25,0.00376689,0.99958333,0.03208342,0.99000000,0.00100000
26,0.00363842,0.99875000,0.03235404,0.99000000,0.00100000
27,0.00338043,0.99958333,0.03190729,0.98666667,0.00100000
28,0.00321582,0.99958333,0.03378102,0.99000000,0.00100000
29,0.00294124,1.00000000,0.03187334,0.99000000,0.00100000
30,0.00303347,0.99958333,0.03237386,0.99000000,0.00100000
31,0.00250556,1.00000000,0.03256090,0.99000000,0.00100000
32,0.00246196,1.00000000,0.03242458,0.99000000,0.00100000
33,0.00209057,1.00000000,0.03268036,0.99000000,0.00100000
34,0.00212583,1.00000000,0.03370341,0.99000000,0.00100000
35,0.00235568,0.99916667,0.03336039,0.99000000,0.00100000
36,0.00195570,1.00000000,0.03378794,0.99000000,0.00100000
37,0.00180902,1.00000000,0.03325612,0.99000000,0.00100000
38,0.00161308,1.00000000,0.03380590,0.99000000,0.00100000
39,0.00164746,1.00000000,0.03285467,0.99000000,0.00100000
40,0.00139132,1.00000000,0.03496081,0.99000000,0.00100000
41,0.00134913,1.00000000,0.03501695,0.99000000,0.00100000
42,0.00129215,1.00000000,0.03482847,0.99000000,0.00100000
43,0.00118969,1.00000000,0.03568393,0.99000000,0.00100000
44,0.00115615,1.00000000,0.03618924,0.99000000,0.00100000
