epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.65293510,0.62458333,0.61036307,0.78666667,0.00100000
2,0.57171611,0.84833333,0.54047710,0.88000000,0.00100000
3,0.50712699,0.90541667,0.48353036,0.92000000,0.00100000
4,0.45404571,0.93333333,0.43621028,0.93333333,0.00100000
5,0.40984945,0.95291667,0.39685549,0.94333333,0.00100000
6,0.37284695,0.96041667,0.36368963,0.93666667,0.00100000
7,0.34143212,0.96458333,0.33571328,0.93666667,0.00100000
8,0.31469589,0.96583333,0.31192594,0.93666667,0.00100000
9,0.29176447,0.97000000,0.29129900,0.93666667,0.00100000
10,0.27176073,0.97125000,0.27332636,0.94333333,0.00100000
11,0.25436972,0.97333333,0.25762103,0.95000000,0.00100000
12,0.23898763,0.97333333,0.24386636,0.95000000,0.00100000
13,0.22539773,0.97333333,0.23154106,0.95000000,0.00100000
14,0.21323447,0.97458333,0.22059089,0.95000000,0.00100000
15,0.20236682,0.97583333,0.21076006,0.95000000,0.00100000
16,0.19254175,0.97791667,0.20179359,0.95000000,0.00100000
17,0.18369271,0.97916667,0.19373986,0.95000000,0.00100000
18,0.17556553,0.98000000,0.18632110,0.95000000,0.00100000
19,0.16822551,0.98000000,0.17960395,0.95333333,0.00100000
20,0.16144523,0.98041667,0.17345847,0.95333333,0.00100000
21,0.15529237,0.98125000,0.16774244,0.95333333,0.00100000
22,0.14951056,0.98083333,0.16247301,0.95666667,0.00100000
23,0.14419710,0.98208333,0.15746021,0.95666667,0.00100000
24,0.13925878,0.98250000,0.15286539,0.95666667,0.00100000
25,0.13466839,0.98291667,0.14863128,0.96000000,0.00100000
26,0.13036716,0.98333333,0.14459650,0.96666667,0.00100000
27,0.12642024,0.98333333,0.14086950,0.96666667,0.00100000
28,0.12260137,0.98375000,0.13732797,0.96666667,0.00100000
29,0.11909604,0.98333333,0.13408746,0.96666667,0.00100000
30,0.11576026,0.98416667,0.13088320,0.96666667,0.00100000
31,0.11266430,0.98458333,0.12793640,0.96666667,0.00100000
32,0.10968527,0.98416667,0.12508615,0.96666667,0.00100000
33,0.10689620,0.98416667,0.12241976,0.96666667,0.00100000
34,0.10423632,0.98416667,0.11995626,0.96666667,0.00100000
35,0.10172794,0.98375000,0.11757272,0.96666667,0.00100000
36,0.09935692,0.98416667,0.11526234,0.96666667,0.00100000
37,0.09705772,0.98375000,0.11305428,0.97333333,0.00100000
38,0.09490118,0.98416667,0.11093453,0.97333333,0.00100000
39,0.09280004,0.98416667,0.10892511,0.97333333,0.00100000
40,0.09083206,0.98458333,0.10691905,0.97333333,0.00100000
41,0.08896650,0.98500000,0.10506194,0.97666667,0.00100000
42,0.08711129,0.98541667,0.10330305,0.97666667,0.00100000
43,0.08539595,0.98583333,0.10157910,0.97666667,0.00100000
44,0.08370534,0.98583333,0.09989874,0.97666667,0.00100000
45,0.08210813,0.98666667,0.09828813,0.97666667,0.00100000
46,0.08056380,0.98666667,0.09678733,0.97666667,0.00100000
47,0.07906988,0.98666667,0.09527859,0.97666667,0.00100000
48,0.07764585,0.98708333,0.09387775,0.97666667,0.00100000
49,0.07626401,0.98708333,0.09254480,0.97666667,0.00100000
50,0.07495935,0.98750000,0.09118646,0.97666667,0.00100000
51,0.07366737,0.98791667,0.08993616,0.97666667,0.00100000
52,0.07242554,0.98791667,0.08866659,0.97666667,0.00100000
53,0.07123311,0.98791667,0.08744002,0.97666667,0.00100000
54,0.07008326,0.98833333,0.08627454,0.97666667,0.00100000
55,0.06895815,0.98833333,0.08509741,0.98000000,0.00100000
56,0.06786421,0.98833333,0.08411405,0.98000000,0.00100000
57,0.06681299,0.98875000,0.08299483,0.98000000,0.00100000
58,0.06578394,0.98875000,0.08195652,0.98000000,0.00100000
59,0.06479639,0.98875000,0.08093030,0.98000000,0.00100000
60,0.06382720,0.98875000,0.07998132,0.98000000,0.00100000
