epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.48016380,0.92250000,0.22193505,0.94666667,0.00100000
2,0.11646170,0.97958333,0.08850592,0.97333333,0.00100000
3,0.05421047,0.98791667,0.06099314,0.98333333,0.00100000
4,0.03815000,0.99041667,0.04912307,0.99000000,0.00100000
5,0.03021935,0.99083333,0.04333326,0.99000000,0.00100000
6,0.02314176,0.99416667,0.03724977,0.99000000,0.00100000
7,0.01886302,0.99541667,0.03610768,0.99000000,0.00100000
8,0.01583492,0.99625000,0.03407490,0.99000000,0.00100000
9,0.01380944,0.99708333,0.03268572,0.99000000,0.00100000
10,0.01128969,0.99750000,0.03135031,0.99000000,0.00100000
11,0.00974765,0.99875000,0.03454633,0.99000000,0.00100000
12,0.00843873,0.99958333,0.03217890,0.99000000,0.00100000
13,0.00787195,0.99958333,0.03477567,0.99000000,0.00100000
14,0.00650253,0.99958333,0.03038422,0.99000000,0.00100000
15,0.00555362,0.99916667,0.02823848,0.99000000,0.00100000
16,0.00523676,0.99958333,0.02860543,0.99000000,0.00100000
17,0.00444432,1.00000000,0.03117440,0.99000000,0.00100000
18,0.00410140,1.00000000,0.02726155,0.99333333,0.00100000
19,0.00339170,1.00000000,0.03145595,0.99000000,0.00100000
20,0.00326640,1.00000000,0.02986293,0.99000000,0.00100000
21,0.00290969,1.00000000,0.02890364,0.99000000,0.00100000
22,0.00266434,1.00000000,0.02786911,0.99333333,0.00100000
23,0.00232353,1.00000000,0.02768674,0.99333333,0.00100000
24,0.00222563,1.00000000,0.03253682,0.99000000,0.00100000
25,0.00194909,1.00000000,0.02927290,0.99000000,0.00100000
26,0.00189030,1.00000000,0.03104152,0.99000000,0.00100000
27,0.00172467,1.00000000,0.02828786,0.99000000,0.00100000
28,0.00152127,1.00000000,0.02782898,0.99333333,0.00100000
29,0.00158653,1.00000000,0.02952322,0.99000000,0.00100000
30,0.00129459,1.00000000,0.03036378,0.99000000,0.00100000
31,0.00127235,1.00000000,0.02831552,0.99333333,0.00100000
32,0.00127716,1.00000000,0.03077126,0.99000000,0.00100000
33,0.00110696,1.00000000,0.03026692,0.99000000,0.00100000
