epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.37745784,0.93041667,0.11503835,0.97333333,0.00100000
2,0.06212545,0.98916667,0.06264135,0.98000000,0.00100000
3,0.03621775,0.99166667,0.05559408,0.98000000,0.00100000
4,0.02738927,0.99416667,0.05023675,0.98666667,0.00100000
5,0.02179492,0.99541667,0.04861858,0.98666667,0.00100000
6,0.01740427,0.99666667,0.04854191,0.98333333,0.00100000
7,0.01453210,0.99791667,0.04660711,0.98666667,0.00100000
8,0.01170169,0.99750000,0.04571408,0.98666667,0.00100000
9,0.01021835,0.99791667,0.04632100,0.98666667,0.00100000
10,0.00958668,0.99833333,0.04645078,0.98666667,0.00100000
11,0.00743305,0.99875000,0.04856501,0.98333333,0.00100000
12,0.00673863,0.99916667,0.04894591,0.98666667,0.00100000
13,0.00635471,0.99833333,0.04829273,0.98666667,0.00100000
14,0.00575472,0.99875000,0.04996596,0.98666667,0.00100000
15,0.00514412,0.99791667,0.05333238,0.98333333,0.00100000
16,0.00427270,0.99916667,0.05283346,0.98666667,0.00100000
17,0.00380781,0.99916667,0.05084735,0.98666667,0.00100000
18,0.00269097,0.99958333,0.05294727,0.98666667,0.00100000
19,0.00223779,1.00000000,0.05331064,0.98666667,0.00100000
20,0.00211968,1.00000000,0.05567237,0.98666667,0.00100000
21,0.00202630,0.99958333,0.05461609,0.98666667,0.00100000
22,0.00172000,1.00000000,0.05603516,0.98666667,0.00100000
23,0.00209135,0.99958333,0.05777382,0.98666667,0.00100000
