epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.62748674,0.85875000,0.55967406,0.96000000,0.00100000
2,0.50411756,0.98000000,0.45508003,0.96333333,0.00100000
3,0.41286660,0.98500000,0.37816678,0.97000000,0.00100000
4,0.34517282,0.98666667,0.32123619,0.97000000,0.00100000
5,0.29439489,0.98791667,0.27851695,0.97333333,0.00100000
6,0.25566800,0.98666667,0.24558752,0.97666667,0.00100000
7,0.22543641,0.98750000,0.21984031,0.97666667,0.00100000
8,0.20142942,0.98875000,0.19922919,0.97666667,0.00100000
9,0.18207774,0.98916667,0.18249291,0.97666667,0.00100000
10,0.16603443,0.99000000,0.16861081,0.97666667,0.00100000
11,0.15253200,0.99000000,0.15704100,0.97666667,0.00100000
12,0.14142643,0.98958333,0.14715683,0.97666667,0.00100000
13,0.13148681,0.99041667,0.13879784,0.97666667,0.00100000
14,0.12316968,0.99083333,0.13156418,0.97666667,0.00100000
15,0.11576657,0.99041667,0.12511669,0.97666667,0.00100000
16,0.10932815,0.99166667,0.11951843,0.97666667,0.00100000
17,0.10366638,0.99041667,0.11459660,0.97666667,0.00100000
18,0.09849636,0.99125000,0.11012916,0.97666667,0.00100000
19,0.09390197,0.99166667,0.10618447,0.97666667,0.00100000
20,0.08978047,0.99166667,0.10261469,0.97666667,0.00100000
21,0.08597192,0.99166667,0.09932149,0.97666667,0.00100000
22,0.08255275,0.99125000,0.09645438,0.97666667,0.00100000
23,0.07938484,0.99166667,0.09374477,0.97666667,0.00100000
24,0.07659574,0.99208333,0.09127207,0.97666667,0.00100000
25,0.07389034,0.99166667,0.08901347,0.97666667,0.00100000
26,0.07141312,0.99208333,0.08691907,0.97666667,0.00100000
27,0.06911361,0.99208333,0.08503729,0.97666667,0.00100000
28,0.06698579,0.99208333,0.08322656,0.97666667,0.00100000
29,0.06498863,0.99208333,0.08148292,0.98000000,0.00100000
30,0.06322535,0.99208333,0.07993373,0.97666667,0.00100000
31,0.06133658,0.99208333,0.07841450,0.98000000,0.00100000
32,0.05968525,0.99208333,0.07713129,0.97666667,0.00100000
33,0.05819472,0.99208333,0.07575858,0.98000000,0.00100000
34,0.05664186,0.99208333,0.07460187,0.98000000,0.00100000
35,0.05527698,0.99208333,0.07344950,0.98000000,0.00100000
36,0.05394578,0.99250000,0.07234736,0.98000000,0.00100000
37,0.05267872,0.99250000,0.07132888,0.98000000,0.00100000
38,0.05148794,0.99250000,0.07040602,0.98000000,0.00100000
39,0.05032132,0.99250000,0.06939512,0.98000000,0.00100000
40,0.04926335,0.99291667,0.06849104,0.98000000,0.00100000
41,0.04821348,0.99333333,0.06774313,0.98000000,0.00100000
42,0.04721069,0.99333333,0.06692274,0.98000000,0.00100000
43,0.04628283,0.99333333,0.06618792,0.98000000,0.00100000
44,0.04536684,0.99333333,0.06541494,0.98000000,0.00100000
45,0.04446410,0.99333333,0.06470891,0.98000000,0.00100000
46,0.04361358,0.99333333,0.06403859,0.98000000,0.00100000
47,0.04282183,0.99333333,0.06351766,0.98000000,0.00100000
48,0.04201754,0.99375000,0.06280703,0.98000000,0.00100000
49,0.04126652,0.99375000,0.06223292,0.98000000,0.00100000
50,0.04055434,0.99375000,0.06166791,0.98000000,0.00100000
51,0.03988248,0.99375000,0.06116339,0.98000000,0.00100000
52,0.03921028,0.99375000,0.06053417,0.98000000,0.00100000
53,0.03849813,0.99375000,0.06006352,0.98000000,0.00100000
54,0.03788756,0.99375000,0.05970815,0.98000000,0.00100000
55,0.03720298,0.99375000,0.05910185,0.98000000,0.00100000
56,0.03661222,0.99375000,0.05862348,0.98000000,0.00100000
57,0.03608114,0.99416667,0.05824586,0.98000000,0.00100000
58,0.03544370,0.99375000,0.05780066,0.98000000,0.00100000
59,0.03491463,0.99458333,0.05744356,0.98000000,0.00100000
60,0.03433865,0.99458333,0.05690900,0.98000000,0.00100000
