epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.67531084,0.84625000,0.65050069,0.98666667,0.00100000
2,0.63230848,0.99333333,0.61039888,0.99000000,0.00100000
3,0.59270035,0.99541667,0.57331070,0.99333333,0.00100000
4,0.55586911,0.99625000,0.53911911,0.99333333,0.00100000
5,0.52206101,0.99750000,0.50758604,0.99333333,0.00100000
6,0.49088853,0.99791667,0.47867499,0.99333333,0.00100000
7,0.46213295,0.99750000,0.45212742,0.99333333,0.00100000
8,0.43564043,0.99750000,0.42749350,0.99333333,0.00100000
9,0.41120784,0.99791667,0.40489757,0.99666667,0.00100000
10,0.38871811,0.99791667,0.38407582,0.99333333,0.00100000
11,0.36794033,0.99833333,0.36478251,0.99333333,0.00100000
12,0.34874295,0.99833333,0.34715854,0.99666667,0.00100000
13,0.33086853,0.99833333,0.33058860,0.99666667,0.00100000
14,0.31441573,0.99833333,0.31554769,0.99666667,0.00100000
15,0.29912065,0.99833333,0.30133008,0.99666667,0.00100000
16,0.28486411,0.99833333,0.28811608,0.99666667,0.00100000
17,0.27167022,0.99875000,0.27582345,0.99666667,0.00100000
18,0.25929354,0.99875000,0.26444133,0.99666667,0.00100000
19,0.24775931,0.99875000,0.25374502,0.99666667,0.00100000
20,0.23699692,0.99875000,0.24360838,0.99666667,0.00100000
21,0.22690851,0.99875000,0.23422900,0.99666667,0.00100000
22,0.21741601,0.99875000,0.22548779,0.99666667,0.00100000
23,0.20857173,0.99875000,0.21720139,0.99666667,0.00100000
24,0.20017882,0.99875000,0.20935365,0.99666667,0.00100000
25,0.19230513,0.99875000,0.20197642,0.99666667,0.00100000
26,0.18489984,0.99875000,0.19493796,0.99666667,0.00100000
27,0.17790783,0.99875000,0.18844552,0.99666667,0.00100000
28,0.17129818,0.99875000,0.18213598,0.99666667,0.00100000
29,0.16505057,0.99875000,0.17634333,0.99666667,0.00100000
30,0.15911150,0.99875000,0.17077811,0.99666667,0.00100000
31,0.15351984,0.99875000,0.16548994,0.99666667,0.00100000
32,0.14820528,0.99875000,0.16047128,0.99666667,0.00100000
33,0.14315541,0.99875000,0.15565648,0.99666667,0.00100000
34,0.13833513,0.99916667,0.15108895,0.99666667,0.00100000
35,0.13376182,0.99916667,0.14670022,0.99666667,0.00100000
36,0.12941948,0.99916667,0.14257977,0.99666667,0.00100000
37,0.12526195,0.99916667,0.13860088,0.99666667,0.00100000
38,0.12130661,0.99916667,0.13482908,0.99666667,0.00100000
39,0.11753181,0.99916667,0.13120762,0.99666667,0.00100000
40,0.11391645,0.99916667,0.12772792,0.99666667,0.00100000
41,0.11046620,0.99916667,0.12442376,0.99666667,0.00100000
42,0.10716611,0.99916667,0.12125840,0.99666667,0.00100000
43,0.10401494,0.99916667,0.11820361,0.99666667,0.00100000
44,0.10096863,0.99916667,0.11524491,0.99666667,0.00100000
45,0.09805503,0.99916667,0.11248372,0.99666667,0.00100000
46,0.09527224,0.99916667,0.10975239,0.99666667,0.00100000
47,0.09258754,0.99916667,0.10713094,0.99666667,0.00100000
48,0.09001678,0.99916667,0.10461783,0.99666667,0.00100000
49,0.08755381,0.99916667,0.10215535,0.99666667,0.00100000
50,0.08515744,0.99916667,0.09986713,0.99666667,0.00100000
51,0.08287243,0.99916667,0.09764362,0.99666667,0.00100000
52,0.08067291,0.99916667,0.09546064,0.99666667,0.00100000
53,0.07854034,0.99916667,0.09337401,0.99666667,0.00100000
54,0.07651029,0.99916667,0.09134560,0.99666667,0.00100000
55,0.07452974,0.99916667,0.08938372,0.99666667,0.00100000
56,0.07263108,0.99916667,0.08751544,0.99666667,0.00100000
57,0.07079833,0.99916667,0.08568780,0.99666667,0.00100000
58,0.06902541,0.99916667,0.08392574,0.99666667,0.00100000
59,0.06731221,0.99916667,0.08220542,0.99666667,0.00100000
60,0.06565537,0.99916667,0.08055503,0.99666667,0.00100000
