epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.58133729,0.85208333,0.34612193,0.99333333,0.00100000
2,0.18051950,0.99458333,0.07375302,0.99666667,0.00100000
3,0.04077398,0.99875000,0.03247906,0.99666667,0.00100000
4,0.01713242,0.99916667,0.02087409,0.99666667,0.00100000
5,0.00983483,0.99958333,0.01603516,0.99666667,0.00100000
6,0.00645241,1.00000000,0.01277043,0.99666667,0.00100000
7,0.00450401,1.00000000,0.01105734,0.99666667,0.00100000
8,0.00326766,1.00000000,0.00963517,0.99666667,0.00100000
9,0.00254547,1.00000000,0.00881292,0.99666667,0.00100000
10,0.00204446,1.00000000,0.00799653,0.99666667,0.00100000
11,0.00158064,1.00000000,0.00758246,0.99666667,0.00100000
12,0.00130699,1.00000000,0.00697883,0.99666667,0.00100000
13,0.00111721,1.00000000,0.00658356,0.99666667,0.00100000
14,0.00095992,1.00000000,0.00628715,0.99666667,0.00100000
15,0.00084366,1.00000000,0.00595527,0.99666667,0.00100000
16,0.00071015,1.00000000,0.00571578,0.99666667,0.00100000
17,0.00064507,1.00000000,0.00556965,0.99666667,0.00100000
18,0.00056483,1.00000000,0.00537755,0.99666667,0.00100000
19,0.00051261,1.00000000,0.00522549,0.99666667,0.00100000
20,0.00046840,1.00000000,0.00513019,0.99666667,0.00100000
21,0.00040576,1.00000000,0.00494226,0.99666667,0.00100000
22,0.00038467,1.00000000,0.00486681,0.99666667,0.00100000
23,0.00034691,1.00000000,0.00472383,0.99666667,0.00100000
24,0.00032194,1.00000000,0.00461755,0.99666667,0.00100000
25,0.00029787,1.00000000,0.00456859,0.99666667,0.00100000
26,0.00027876,1.00000000,0.00445916,0.99666667,0.00100000
27,0.00026605,1.00000000,0.00439484,0.99666667,0.00100000
28,0.00024220,1.00000000,0.00429029,0.99666667,0.00100000
29,0.00021191,1.00000000,0.00424311,0.99666667,0.00100000
30,0.00021282,1.00000000,0.00415938,0.99666667,0.00100000
31,0.00019540,1.00000000,0.00398145,0.99666667,0.00100000
32,0.00018231,1.00000000,0.00390368,0.99666667,0.00100000
33,0.00017605,1.00000000,0.00384679,0.99666667,0.00100000
34,0.00016137,1.00000000,0.00379014,0.99666667,0.00100000
35,0.00015049,1.00000000,0.00378209,0.99666667,0.00100000
36,0.00015177,1.00000000,0.00373635,0.99666667,0.00100000
37,0.00013152,1.00000000,0.00367134,0.99666667,0.00100000
38,0.00013073,1.00000000,0.00361500,0.99666667,0.00100000
39,0.00012167,1.00000000,0.00361324,0.99666667,0.00100000
40,0.00011297,1.00000000,0.00356426,0.99666667,0.00100000
41,0.00011110,1.00000000,0.00351977,0.99666667,0.00100000
42,0.00010051,1.00000000,0.00345004,0.99666667,0.00100000
43,0.00010031,1.00000000,0.00340993,0.99666667,0.00100000
44,0.00009861,1.00000000,0.00339534,0.99666667,0.00100000
45,0.00009229,1.00000000,0.00330679,0.99666667,0.00100000
46,0.00008474,1.00000000,0.00326966,0.99666667,0.00100000
47,0.00008196,1.00000000,0.00320879,0.99666667,0.00100000
48,0.00008676,1.00000000,0.00312772,0.99666667,0.00100000
49,0.00008028,1.00000000,0.00310397,0.99666667,0.00100000
50,0.00007021,1.00000000,0.00309593,0.99666667,0.00100000
51,0.00007305,1.00000000,0.00306891,0.99666667,0.00100000
52,0.00006581,1.00000000,0.00303718,1.00000000,0.00100000
53,0.00006209,1.00000000,0.00304492,0.99666667,0.00100000
54,0.00006032,1.00000000,0.00303012,0.99666667,0.00100000
55,0.00005881,1.00000000,0.00301574,0.99666667,0.00100000
56,0.00005699,1.00000000,0.00300969,0.99666667,0.00100000
57,0.00005441,1.00000000,0.00303255,0.99666667,0.00100000
58,0.00005393,1.00000000,0.00299941,0.99666667,0.00100000
59,0.00005379,1.00000000,0.00297268,0.99666667,0.00100000
60,0.00004829,1.00000000,0.00293722,1.00000000,0.00100000
