epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.99696143,0.69633333,0.90915930,0.75333333,0.00100000
2,0.84899993,0.77916667,0.78569533,0.79666667,0.00100000
3,0.74887630,0.80175000,0.69975375,0.81266667,0.00100000
4,0.67716632,0.81666667,0.63740461,0.83333333,0.00100000
5,0.62334713,0.82583333,0.59015257,0.83733333,0.00100000
6,0.58130109,0.83383333,0.55295970,0.84333333,0.00100000
7,0.54739197,0.83925000,0.52298225,0.85000000,0.00100000
8,0.51925997,0.84450000,0.49816994,0.85400000,0.00100000
9,0.49550729,0.84800000,0.47725242,0.85933333,0.00100000
10,0.47513736,0.85250000,0.45958913,0.86600000,0.00100000
11,0.45728522,0.85900000,0.44348130,0.86733333,0.00100000
12,0.44153039,0.86191667,0.42985320,0.87333333,0.00100000
13,0.42750323,0.86641667,0.41746642,0.87400000,0.00100000
14,0.41490201,0.86808333,0.40640567,0.87333333,0.00100000
15,0.40347243,0.87041667,0.39645853,0.87466667,0.00100000
16,0.39306098,0.87541667,0.38771955,0.88000000,0.00100000
17,0.38356216,0.87933333,0.37930965,0.88466667,0.00100000
18,0.37479729,0.88175000,0.37139860,0.88333333,0.00100000
19,0.36670050,0.88283333,0.36455328,0.88733333,0.00100000
20,0.35916985,0.88550000,0.35799455,0.88933333,0.00100000
21,0.35214866,0.88683333,0.35213041,0.89400000,0.00100000
22,0.34555461,0.89150000,0.34588688,0.89266667,0.00100000
23,0.33944505,0.89183333,0.34077071,0.89400000,0.00100000
24,0.33372825,0.89350000,0.33559594,0.89333333,0.00100000
25,0.32826083,0.89441667,0.33089870,0.89533333,0.00100000
26,0.32311885,0.89625000,0.32646340,0.89600000,0.00100000
27,0.31827294,0.89666667,0.32254645,0.89866667,0.00100000
28,0.31364626,0.89866667,0.31846773,0.89800000,0.00100000
29,0.30925727,0.89916667,0.31446321,0.89800000,0.00100000
30,0.30510589,0.90008333,0.31112343,0.89866667,0.00100000
31,0.30111993,0.90191667,0.30748960,0.89800000,0.00100000
32,0.29731410,0.90241667,0.30424992,0.89933333,0.00100000
33,0.29366830,0.90208333,0.30124399,0.90066667,0.00100000
34,0.29026549,0.90500000,0.29827255,0.89933333,0.00100000
35,0.28687851,0.90583333,0.29510100,0.89933333,0.00100000
36,0.28371886,0.90633333,0.29254670,0.90200000,0.00100000
37,0.28073579,0.90775000,0.29015478,0.90200000,0.00100000
38,0.27770793,0.90850000,0.28730421,0.90200000,0.00100000
39,0.27495940,0.90916667,0.28480957,0.90266667,0.00100000
40,0.27219639,0.91050000,0.28245250,0.90200000,0.00100000
41,0.26959565,0.91091667,0.28014310,0.90266667,0.00100000
42,0.26708159,0.91183333,0.27827135,0.90200000,0.00100000
43,0.26465916,0.91275000,0.27627991,0.90133333,0.00100000
44,0.26231009,0.91341667,0.27435290,0.90266667,0.00100000
45,0.25999005,0.91483333,0.27245522,0.90266667,0.00100000
46,0.25780427,0.91525000,0.27086230,0.90733333,0.00100000
47,0.25571797,0.91583333,0.26856955,0.90533333,0.00100000
48,0.25369864,0.91566667,0.26691035,0.90600000,0.00100000
49,0.25163254,0.91700000,0.26528447,0.90866667,0.00100000
50,0.24971997,0.91650000,0.26369915,0.90866667,0.00100000
51,0.24787022,0.91700000,0.26213702,0.90866667,0.00100000
52,0.24606441,0.91783333,0.26076372,0.91000000,0.00100000
53,0.24424597,0.91816667,0.25933581,0.91133333,0.00100000
54,0.24258841,0.92000000,0.25790837,0.91200000,0.00100000
55,0.24087629,0.91891667,0.25645420,0.91133333,0.00100000
56,0.23928705,0.91950000,0.25519461,0.91066667,0.00100000
57,0.23767063,0.91958333,0.25401982,0.91066667,0.00100000
58,0.23614853,0.92125000,0.25275488,0.91066667,0.00100000
59,0.23466270,0.92066667,0.25172088,0.91200000,0.00100000
60,0.23315855,0.92125000,0.25053253,0.91266667,0.00100000
