epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.66333932,0.76558333,0.36268914,0.87466667,0.00100000
2,0.30733123,0.88891667,0.26325558,0.90266667,0.00100000
3,0.23348561,0.91633333,0.22786951,0.92133333,0.00100000
4,0.20017262,0.92833333,0.20548010,0.93266667,0.00100000
5,0.17664312,0.93858333,0.19480048,0.93266667,0.00100000
6,0.15995473,0.94641667,0.18079441,0.93866667,0.00100000
7,0.14614389,0.94983333,0.17588660,0.94200000,0.00100000
8,0.13490639,0.95450000,0.17050417,0.94533333,0.00100000
9,0.12497046,0.95791667,0.16283701,0.94733333,0.00100000
10,0.11669568,0.96066667,0.15876339,0.94466667,0.00100000
11,0.10859043,0.96475000,0.15678768,0.94866667,0.00100000
12,0.10310462,0.96608333,0.14853481,0.95066667,0.00100000
13,0.09543184,0.96916667,0.14657728,0.95133333,0.00100000
14,0.09042214,0.97025000,0.14100799,0.95200000,0.00100000
15,0.08417288,0.97350000,0.14022220,0.95000000,0.00100000
16,0.08043129,0.97508333,0.13783471,0.95333333,0.00100000
17,0.07513531,0.97533333,0.13641853,0.95200000,0.00100000
18,0.07057838,0.97716667,0.13386857,0.95333333,0.00100000
19,0.06942350,0.97750000,0.13180060,0.95266667,0.00100000
20,0.06482258,0.97933333,0.13058007,0.95600000,0.00100000
21,0.06242240,0.97958333,0.13472048,0.95400000,0.00100000
22,0.05809383,0.98241667,0.13251808,0.95466667,0.00100000
23,0.05533326,0.98216667,0.12729749,0.95733333,0.00100000
24,0.05345326,0.98266667,0.12688925,0.95666667,0.00100000
25,0.04969453,0.98483333,0.12896265,0.95533333,0.00100000
26,0.04856771,0.98408333,0.12632985,0.95533333,0.00100000
27,0.04654479,0.98375000,0.12482940,0.95800000,0.00100000
28,0.04456580,0.98508333,0.12693235,0.95866667,0.00100000
29,0.04460007,0.98591667,0.12305696,0.96066667,0.00100000
30,0.04094037,0.98658333,0.12706102,0.95600000,0.00100000
31,0.03931220,0.98683333,0.13005221,0.95733333,0.00100000
32,0.03833014,0.98725000,0.12563425,0.96066667,0.00100000
33,0.03671625,0.98791667,0.12557808,0.96066667,0.00100000
34,0.03568030,0.98891667,0.12570463,0.95866667,0.00100000
35,0.03506534,0.98891667,0.12756832,0.95533333,0.00100000
36,0.03190429,0.99033333,0.12456297,0.96066667,0.00100000
37,0.03324818,0.99000000,0.12695988,0.96266667,0.00100000
38,0.03226385,0.98900000,0.12613051,0.95800000,0.00100000
39,0.03097701,0.99041667,0.13008632,0.95866667,0.00100000
40,0.03101587,0.98991667,0.13041976,0.96133333,0.00100000
41,0.02887261,0.99150000,0.12791154,0.96000000,0.00100000
42,0.02850688,0.99058333,0.13065431,0.96200000,0.00100000
43,0.02769455,0.99150000,0.13080752,0.95866667,0.00100000
44,0.02549954,0.99091667,0.13341170,0.95733333,0.00100000
