epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.96380719,0.72258333,0.84921318,0.77000000,0.00100000
2,0.77428145,0.77766667,0.70173803,0.78866667,0.00100000
3,0.66024297,0.80383333,0.61110585,0.80600000,0.00100000
4,0.58637340,0.82033333,0.54958967,0.83466667,0.00100000
5,0.53458384,0.83600000,0.50538675,0.83666667,0.00100000
6,0.49570909,0.84141667,0.47169542,0.84066667,0.00100000
7,0.46513011,0.84841667,0.44602599,0.84133333,0.00100000
8,0.44062956,0.85183333,0.42456871,0.85066667,0.00100000
9,0.41998409,0.85983333,0.40699327,0.85133333,0.00100000
10,0.40252214,0.86150000,0.39206462,0.86466667,0.00100000
11,0.38730097,0.86683333,0.37894394,0.85866667,0.00100000
12,0.37390161,0.87050000,0.36705316,0.87466667,0.00100000
13,0.36221384,0.87633333,0.35674598,0.87000000,0.00100000
14,0.35160838,0.88025000,0.34819682,0.87266667,0.00100000
15,0.34186086,0.88116667,0.34021083,0.87933333,0.00100000
16,0.33320974,0.88458333,0.33254644,0.87466667,0.00100000
17,0.32506629,0.88841667,0.32622646,0.88600000,0.00100000
18,0.31832889,0.88950000,0.31986946,0.88600000,0.00100000
19,0.31104724,0.89433333,0.31423017,0.88333333,0.00100000
20,0.30459253,0.89550000,0.30857875,0.88400000,0.00100000
21,0.29873098,0.89783333,0.30381834,0.88600000,0.00100000
22,0.29310829,0.89958333,0.29871963,0.88533333,0.00100000
23,0.28790117,0.90166667,0.29456926,0.89066667,0.00100000
24,0.28302404,0.90300000,0.29002796,0.88933333,0.00100000
25,0.27828732,0.90400000,0.28648922,0.88933333,0.00100000
26,0.27388631,0.90550000,0.28269551,0.89200000,0.00100000
27,0.26971472,0.90683333,0.27945842,0.89400000,0.00100000
28,0.26582132,0.90758333,0.27546673,0.89666667,0.00100000
29,0.26186953,0.90808333,0.27257888,0.89400000,0.00100000
30,0.25838030,0.91000000,0.26976675,0.89333333,0.00100000
31,0.25482246,0.91191667,0.26645414,0.89733333,0.00100000
32,0.25151705,0.91208333,0.26327072,0.89733333,0.00100000
33,0.24839532,0.91358333,0.26128808,0.89933333,0.00100000
34,0.24529193,0.91475000,0.25900755,0.89933333,0.00100000
35,0.24247265,0.91733333,0.25619721,0.90133333,0.00100000
36,0.23948700,0.91750000,0.25379807,0.90333333,0.00100000
37,0.23690950,0.91975000,0.25167568,0.90466667,0.00100000
38,0.23415508,0.92083333,0.24925202,0.90533333,0.00100000
39,0.23165380,0.92108333,0.24694083,0.90600000,0.00100000
40,0.22931254,0.92200000,0.24575361,0.90933333,0.00100000
41,0.22699702,0.92350000,0.24438029,0.90933333,0.00100000
42,0.22451851,0.92383333,0.24096520,0.91200000,0.00100000
43,0.22228384,0.92575000,0.23938673,0.91000000,0.00100000
44,0.22033867,0.92625000,0.23765035,0.91000000,0.00100000
45,0.21821831,0.92791667,0.23652612,0.91400000,0.00100000
46,0.21607229,0.92950000,0.23555078,0.91400000,0.00100000
47,0.21409720,0.92925000,0.23290897,0.91133333,0.00100000
48,0.21234370,0.93091667,0.23139996,0.91200000,0.00100000
49,0.21038818,0.93125000,0.23038408,0.91066667,0.00100000
50,0.20856468,0.93208333,0.22783929,0.91333333,0.00100000
51,0.20700001,0.93266667,0.22705016,0.91333333,0.00100000
52,0.20516292,0.93266667,0.22563494,0.91266667,0.00100000
53,0.20348578,0.93291667,0.22401049,0.91733333,0.00100000
54,0.20183040,0.93391667,0.22301424,0.91800000,0.00100000
55,0.20028808,0.93425000,0.22216883,0.91733333,0.00100000
56,0.19884431,0.93408333,0.22108990,0.91666667,0.00100000
57,0.19729117,0.93458333,0.21904012,0.91733333,0.00100000
58,0.19583089,0.93508333,0.21832861,0.91600000,0.00100000
59,0.19445461,0.93483333,0.21676746,0.91800000,0.00100000
60,0.19295471,0.93458333,0.21569477,0.91866667,0.00100000
