epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,1.04144486,0.71991667,0.98843951,0.74533333,0.00100000
2,0.93732169,0.77341667,0.89854325,0.79066667,0.00100000
3,0.85071899,0.79625000,0.82316304,0.80800000,0.00100000
4,0.77729520,0.81766667,0.75911920,0.82266667,0.00100000
5,0.71434385,0.83466667,0.70421043,0.83400000,0.00100000
6,0.65989563,0.85050000,0.65696031,0.84133333,0.00100000
7,0.61263158,0.86416667,0.61614339,0.85533333,0.00100000
8,0.57135600,0.88416667,0.58044185,0.86333333,0.00100000
9,0.53511746,0.89566667,0.54937804,0.86533333,0.00100000
10,0.50311328,0.90166667,0.52191325,0.86533333,0.00100000
11,0.47467876,0.90991667,0.49771716,0.87200000,0.00100000
12,0.44927207,0.91825000,0.47596115,0.87600000,0.00100000
13,0.42648951,0.91966667,0.45650988,0.88133333,0.00100000
14,0.40593571,0.92208333,0.43922241,0.88266667,0.00100000
15,0.38730210,0.92391667,0.42331501,0.88600000,0.00100000
16,0.37035353,0.92825000,0.40887787,0.88800000,0.00100000
17,0.35487354,0.93075000,0.39588843,0.88800000,0.00100000
18,0.34066711,0.93283333,0.38392323,0.88866667,0.00100000
19,0.32764977,0.93400000,0.37288262,0.88933333,0.00100000
20,0.31560968,0.93625000,0.36274177,0.89466667,0.00100000
21,0.30448757,0.93733333,0.35332541,0.89400000,0.00100000
22,0.29411263,0.93891667,0.34475602,0.89733333,0.00100000
23,0.28449167,0.94058333,0.33667048,0.89533333,0.00100000
24,0.27553896,0.94150000,0.32915968,0.89866667,0.00100000
25,0.26714009,0.94291667,0.32223723,0.90066667,0.00100000
26,0.25927635,0.94358333,0.31570386,0.90066667,0.00100000
27,0.25187778,0.94466667,0.30960743,0.90066667,0.00100000
28,0.24492398,0.94550000,0.30386193,0.90133333,0.00100000
29,0.23836484,0.94633333,0.29841902,0.90000000,0.00100000
30,0.23218819,0.94733333,0.29341860,0.90133333,0.00100000
31,0.22631371,0.94816667,0.28857800,0.90066667,0.00100000
32,0.22076742,0.94908333,0.28402225,0.90133333,0.00100000
33,0.21552445,0.95041667,0.27979975,0.90266667,0.00100000
34,0.21049391,0.95166667,0.27569407,0.90266667,0.00100000
35,0.20574956,0.95200000,0.27181837,0.90266667,0.00100000
36,0.20122402,0.95216667,0.26815553,0.90333333,0.00100000
37,0.19687118,0.95258333,0.26470179,0.90333333,0.00100000
38,0.19272785,0.95308333,0.26145216,0.90600000,0.00100000
39,0.18879250,0.95466667,0.25823601,0.90800000,0.00100000
40,0.18501246,0.95575000,0.25523317,0.90866667,0.00100000
41,0.18137246,0.95650000,0.25247670,0.90866667,0.00100000
42,0.17791329,0.95608333,0.24971031,0.90933333,0.00100000
43,0.17458987,0.95650000,0.24706086,0.90933333,0.00100000
44,0.17138415,0.95716667,0.24451340,0.90933333,0.00100000
45,0.16826603,0.95816667,0.24216551,0.90866667,0.00100000
46,0.16530782,0.95908333,0.23998597,0.91066667,0.00100000
47,0.16246961,0.96025000,0.23772854,0.91066667,0.00100000
48,0.15969664,0.96066667,0.23571776,0.91400000,0.00100000
49,0.15704884,0.96133333,0.23367637,0.91266667,0.00100000
50,0.15451043,0.96183333,0.23170537,0.91400000,0.00100000
51,0.15203816,0.96266667,0.22993950,0.91600000,0.00100000
52,0.14965441,0.96350000,0.22806945,0.91533333,0.00100000
53,0.14733701,0.96408333,0.22639383,0.91533333,0.00100000
54,0.14510933,0.96416667,0.22476467,0.91533333,0.00100000
55,0.14294953,0.96483333,0.22318820,0.91533333,0.00100000
56,0.14085963,0.96516667,0.22168149,0.91533333,0.00100000
57,0.13884386,0.96541667,0.22022187,0.91533333,0.00100000
58,0.13689495,0.96600000,0.21880071,0.91600000,0.00100000
59,0.13499252,0.96625000,0.21748064,0.91466667,0.00100000
60,0.13312911,0.96683333,0.21621090,0.91466667,0.00100000
