epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.71334946,0.75675000,0.33796931,0.88600000,0.00100000
2,0.21008263,0.93075000,0.21922239,0.91600000,0.00100000
3,0.12918425,0.95550000,0.19407543,0.92466667,0.00100000
4,0.09766063,0.96725000,0.19033033,0.92666667,0.00100000
5,0.07888842,0.97491667,0.19066293,0.93000000,0.00100000
6,0.06764258,0.97808333,0.19329631,0.92866667,0.00100000
7,0.05962970,0.98050000,0.19596266,0.93066667,0.00100000
8,0.05312999,0.98250000,0.20404590,0.93200000,0.00100000
9,0.04984128,0.98225000,0.21125344,0.93133333,0.00100000
10,0.04575097,0.98341667,0.22182105,0.93133333,0.00100000
11,0.04194477,0.98475000,0.22297228,0.93200000,0.00100000
12,0.04017788,0.98466667,0.23040780,0.93200000,0.00100000
13,0.03917546,0.98433333,0.23935445,0.93133333,0.00100000
14,0.03737281,0.98533333,0.25052699,0.93000000,0.00100000
15,0.03577807,0.98541667,0.24802655,0.93133333,0.00100000
16,0.03533886,0.98600000,0.24842122,0.93266667,0.00100000
17,0.03273401,0.98633333,0.25353845,0.92933333,0.00100000
18,0.03381421,0.98616667,0.25280005,0.93200000,0.00100000
19,0.03233045,0.98558333,0.26186929,0.93200000,0.00100000
