epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.75225072,0.74416667,0.47379036,0.83200000,0.00100000
2,0.38969136,0.84591667,0.34310727,0.85866667,0.00100000
3,0.29794852,0.88783333,0.28702039,0.89333333,0.00100000
4,0.25158423,0.90858333,0.26141810,0.90600000,0.00100000
5,0.22205121,0.92300000,0.24824924,0.91266667,0.00100000
6,0.20128882,0.92858333,0.22668537,0.92066667,0.00100000
7,0.18687414,0.93533333,0.21600315,0.92733333,0.00100000
8,0.17514543,0.93908333,0.21063970,0.93000000,0.00100000
9,0.16633328,0.94158333,0.20336292,0.93000000,0.00100000
10,0.15920322,0.94508333,0.19611287,0.93466667,0.00100000
11,0.15113449,0.94683333,0.19207943,0.93666667,0.00100000
12,0.14501410,0.94816667,0.18888743,0.93733333,0.00100000
13,0.14170776,0.95083333,0.18158215,0.94000000,0.00100000
14,0.13298723,0.95383333,0.17964636,0.94333333,0.00100000
15,0.12774307,0.95716667,0.17548418,0.94133333,0.00100000
16,0.12249203,0.95741667,0.17238458,0.94600000,0.00100000
17,0.11922216,0.95925000,0.16760487,0.94600000,0.00100000
18,0.11384276,0.96075000,0.16334122,0.94800000,0.00100000
19,0.10922192,0.96316667,0.16258573,0.94533333,0.00100000
20,0.10514930,0.96475000,0.15852205,0.94600000,0.00100000
21,0.10142679,0.96500000,0.15818627,0.94933333,0.00100000
22,0.09817597,0.96700000,0.15473113,0.94733333,0.00100000
23,0.09373606,0.96875000,0.15157867,0.94933333,0.00100000
24,0.09067688,0.97108333,0.15112294,0.94866667,0.00100000
25,0.08796309,0.97075000,0.14751723,0.95533333,0.00100000
26,0.08434249,0.97150000,0.14533781,0.95400000,0.00100000
27,0.08164972,0.97233333,0.14314877,0.95466667,0.00100000
28,0.07918457,0.97400000,0.14310141,0.95200000,0.00100000
29,0.07636491,0.97425000,0.14294584,0.95133333,0.00100000
30,0.07356190,0.97683333,0.13845503,0.95600000,0.00100000
31,0.07280365,0.97666667,0.13758655,0.95800000,0.00100000
32,0.06777479,0.97833333,0.13422380,0.95866667,0.00100000
33,0.06523832,0.97908333,0.13288732,0.95933333,0.00100000
34,0.06374929,0.98033333,0.13263801,0.95666667,0.00100000
35,0.06155356,0.98083333,0.12999119,0.95933333,0.00100000
36,0.05970015,0.98016667,0.13198946,0.96000000,0.00100000
37,0.05839563,0.98166667,0.13264283,0.95666667,0.00100000
38,0.05704793,0.98366667,0.12920782,0.95800000,0.00100000
39,0.05504985,0.98258333,0.13395313,0.95800000,0.00100000
40,0.05261374,0.98366667,0.12710445,0.95933333,0.00100000
41,0.05092497,0.98491667,0.12700641,0.95800000,0.00100000
42,0.04880831,0.98516667,0.12915456,0.95733333,0.00100000
43,0.04717968,0.98683333,0.12611446,0.96066667,0.00100000
44,0.04658827,0.98566667,0.12602396,0.96066667,0.00100000
45,0.04498872,0.98625000,0.12751002,0.96066667,0.00100000
46,0.04376350,0.98558333,0.12476932,0.96200000,0.00100000
47,0.04142684,0.98883333,0.12709789,0.96133333,0.00100000
48,0.04141074,0.98741667,0.12684676,0.96133333,0.00100000
49,0.04034365,0.98750000,0.12314760,0.96066667,0.00100000
50,0.03978854,0.98833333,0.12704179,0.96266667,0.00100000
51,0.03818832,0.98866667,0.12537094,0.96000000,0.00100000
52,0.03774867,0.98783333,0.12332320,0.95866667,0.00100000
53,0.03547748,0.98891667,0.12652409,0.96200000,0.00100000
54,0.03501965,0.98950000,0.12524640,0.96066667,0.00100000
55,0.03501041,0.98941667,0.12515698,0.96200000,0.00100000
56,0.03412327,0.98941667,0.12795089,0.96066667,0.00100000
57,0.03187318,0.99083333,0.12598778,0.96266667,0.00100000
58,0.03184125,0.99091667,0.12504663,0.96066667,0.00100000
59,0.03218554,0.99033333,0.13025884,0.96133333,0.00100000
60,0.03100723,0.99000000,0.12679215,0.96066667,0.00100000
