epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate
1,0.58342814,0.78883333,0.33445171,0.86400000,0.00100000
2,0.28852229,0.88666667,0.25689583,0.89133333,0.00100000
3,0.22775258,0.91333333,0.23974102,0.90000000,0.00100000
4,0.19096306,0.93083333,0.19703006,0.92000000,0.00100000
5,0.16684442,0.94025000,0.19484954,0.92533333,0.00100000
6,0.14726325,0.94725000,0.17294873,0.93600000,0.00100000
7,0.13321619,0.95466667,0.16375006,0.94000000,0.00100000
8,0.12115016,0.95933333,0.16017429,0.93600000,0.00100000
9,0.11119430,0.96375000,0.15293200,0.94200000,0.00100000
10,0.10539198,0.96308333,0.14975279,0.94333333,0.00100000
11,0.09640450,0.96708333,0.15161884,0.94266667,0.00100000
12,0.09115788,0.96925000,0.14526651,0.94266667,0.00100000
13,0.08631679,0.97091667,0.14225297,0.94466667,0.00100000
14,0.08147010,0.97266667,0.14304084,0.94200000,0.00100000
15,0.07502550,0.97608333,0.14416890,0.94800000,0.00100000
16,0.07093400,0.97641667,0.14752303,0.94600000,0.00100000
17,0.06901047,0.97708333,0.14239384,0.94333333,0.00100000
18,0.06456075,0.97725000,0.13993867,0.94600000,0.00100000
19,0.06370577,0.98025000,0.13572784,0.94800000,0.00100000
20,0.05802531,0.97925000,0.13907735,0.94933333,0.00100000
21,0.05611087,0.98133333,0.14140537,0.94466667,0.00100000
22,0.05312530,0.98300000,0.13520426,0.94866667,0.00100000
23,0.05149716,0.98375000,0.13249709,0.94866667,0.00100000
24,0.04908613,0.98308333,0.13906447,0.95066667,0.00100000
25,0.04626320,0.98516667,0.13806003,0.95133333,0.00100000
26,0.04558237,0.98475000,0.14095086,0.95133333,0.00100000
27,0.04541348,0.98608333,0.14220991,0.95000000,0.00100000
28,0.04199541,0.98633333,0.14535632,0.94666667,0.00100000
29,0.04193174,0.98666667,0.13519090,0.95200000,0.00100000
30,0.03993389,0.98650000,0.14520524,0.94866667,0.00100000
31,0.03719347,0.98783333,0.14713751,0.94800000,0.00100000
32,0.03744479,0.98716667,0.14469336,0.94933333,0.00100000
33,0.03604674,0.98791667,0.14081714,0.95266667,0.00100000
34,0.03431392,0.98958333,0.15252798,0.94666667,0.00100000
35,0.03165604,0.99025000,0.14233710,0.94733333,0.00100000
36,0.03063392,0.99041667,0.14282055,0.95000000,0.00100000
37,0.03161243,0.98975000,0.15308850,0.95000000,0.00100000
38,0.03038832,0.99058333,0.15239077,0.94800000,0.00100000
